crop,season,avg_yield,avg_extent,yield_cv,n_years,is_annual_only,yield_trend_per_year,crop_group,avg_yield_z,avg_extent_z,yield_trend_per_year_z,stability_z,suitability_score
Mango,Maha,5.9684519109740615,28707.444444444445,0.10756847129375817,9,True,0.18409065635632346,fruits,-0.34213555148194386,1.408997550877419,0.11189387664187496,0.9431250725349536,0.3792427033351953
Leeks,Maha,21.878888888888888,1221.4444444444443,0.5123147530463222,9,False,0.9125000000000003,vegetables,1.5916424224851629,-0.8248655402177814,2.2188669525816813,-3.6314948531846403,0.3294897464782601
Big onion,Maha,10.935857142857143,246.14285714285714,0.13598909276398313,7,False,-0.06541019417475721,ofc,1.025973388791041,-0.29690912780183426,-0.3035744661831772,0.2979550577729949,0.32014043899527167
Brinjal,Maha,11.411111111111111,6359.555555555556,0.14345244369961102,9,False,-0.26016666666666666,vegetables,-0.6198443591105119,2.6467150728520847,-0.7849563935307892,-0.0795847540390274,0.2448120327568044
Potato,Maha,15.781222222222222,2066.8888888888887,0.13883527255876513,9,False,-0.4077333333333334,ofc,1.9351391822876816,-0.2863250406519758,-2.5071263418147267,0.28902120907641327,0.24440232575059545
Red pumpkin,Maha,13.325555555555557,4462.888888888889,0.10405822163339469,9,False,-0.2661666666666667,vegetables,-0.21538711203596045,1.3652263920765593,-0.8003255863193125,0.299756619854115,0.14005012891901036
Ash plantain,Maha,12.05111111111111,3294.3333333333335,0.06875880542546692,9,False,0.1685,vegetables,-0.4846340431993447,0.5756882282970517,0.3130870468048095,0.6396676103398142,0.10863599070645905
Bean,Maha,11.172222222222222,3829.5555555555557,0.14099010910205947,9,False,0.32066666666666677,vegetables,-0.6703134874454095,0.9373127728369289,0.7028668528026331,-0.0558740335265171,0.09839506376261745
Pineapple,Maha,10.12785990529087,4885.777777777777,0.10408007682457239,9,True,0.1039340042183285,fruits,0.15316290953624964,-0.42141825725732357,-0.03603598993335868,0.9644479011868085,0.0933705866915185
Chillies,Maha,5.66775,7429.0,0.06919990239889422,4,False,-0.08265161290322587,ofc,0.037485889436575826,-0.25515482233613496,-0.414558376505601,0.5075990593159811,-0.05556616621312642
Tomato,Maha,13.375555555555556,3271.5555555555557,0.13461543587750224,9,False,-0.22166666666666665,vegetables,-0.2048238061054007,0.5602983525173807,-0.686337406471099,0.005510026680554419,-0.07829591160495177
Ladies fingers,Maha,9.283333333333333,4118.111111111111,0.07579151488642473,9,False,-0.06649999999999996,vegetables,-1.069371711488786,1.1322762235676869,-0.288873004079014,0.5719470785159637,-0.11666216774200093
Maize,Maha,3.5985555555555555,66458.33333333333,0.14928986245493597,9,False,-0.09646666666666669,ofc,-0.3507698514969197,0.08798562531812332,-0.50348659709626,0.25620538890636124,-0.18057804535253486
Ash pumpkin,Maha,15.092222222222224,450.55555555555554,0.1675075653688333,9,False,0.26533333333333325,vegetables,0.15784969751049163,-1.3457189946536683,0.5611287415306969,-0.311220319473761,-0.20774716927414516
Cucumber,Maha,13.182222222222222,1547.2222222222222,0.0890647811543453,9,False,-0.017333333333333267,vegetables,-0.24566858903689923,-0.6047527802860977,-0.16293100761750476,0.4441339425271587,-0.21542174083071125
Luffa,Maha,10.58,2407.375,0.061154548636561556,8,False,0.023423423423423594,vegetables,-0.7954299776895976,-0.023587904120975726,-0.05853126561258142,0.7128917804450388,-0.22884145316184343
Ground nut,Maha,1.6377777777777778,11105.222222222223,0.15113567748119933,9,False,0.02983333333333332,ofc,-0.7186827032644295,-0.2337847598980838,0.30951308085814877,0.25041157637324374,-0.24645491865267646
Blackgram,Maha,0.9156666666666666,8418.333333333334,0.04904127000943073,9,False,-0.00039999999999999503,ofc,-0.85417687358443,-0.24940377851251144,0.11489953957954013,0.5708748130219312,-0.2954105641927022
Meneri,Maha,1.0563333333333333,44.44444444444444,0.19354384468266433,9,False,0.038866666666666674,ofc,-0.827782717618109,-0.2980816106966293,0.36766111799872553,0.11729695375810983,-0.31450672305793936
Lime,Maha,1.470052635020104,9941.222222222223,0.18300609552829364,9,True,0.015798322425090796,fruits,-0.8778007811179014,-0.032966619605686774,-0.19869123189313137,0.48201221684594386,-0.32679838120031696
Kurakkan,Maha,1.2286666666666666,5043.222222222223,0.07947838708019776,9,False,-0.028200000000000006,ofc,-0.7954467492897015,-0.26902346710038066,-0.06405050829957762,0.47533601425422967,-0.3269442660127569
Orange,Maha,1.2548477988741977,6519.333333333333,0.11177556521275675,9,True,0.025504462193001648,fruits,-0.9034271741748892,-0.2958986639310007,-0.18077845831127384,0.9174091898991218,-0.3338898488300923
Bitter gourd,Maha,11.163333333333334,2111.777777777778,0.08099470506961651,9,False,-0.13699999999999998,vegetables,-0.6721914084997312,-0.22330907864459534,-0.4694610193441612,0.5218436570192372,-0.340319488376988
Beetroot,Maha,17.41888888888889,1091.111111111111,0.21244905298350727,9,False,-0.4829999999999998,vegetables,0.649395533479215,-0.9129256587034105,-1.3557511368156627,-0.7439783424116534,-0.3512201800090472
Green gram,Maha,1.1323333333333332,5447.777777777777,0.11080229726160004,9,False,-0.03506666666666667,ofc,-0.8135223679491014,-0.2666717655548042,-0.10825159926252513,0.37701366839996997,-0.3571751581608512
Snake gourd,Maha,12.042222222222222,1423.2222222222222,0.07886480915247303,9,False,-0.18566666666666676,vegetables,-0.48651196425366644,-0.6885337625793305,-0.5941222497399603,0.5423532038786862,-0.4042096957124883
Rambutan,Maha,4.1832705436772395,6549.666666666667,0.5334373488100638,9,True,0.45844830650701,fruits,-0.5547132993413966,-0.29356790287957324,0.618223538599497,-1.6600005727013218,-0.42063267364175083
Cowpea,Maha,1.1474444444444445,5827.555555555556,0.1811461858888804,9,False,-0.05996666666666666,ofc,-0.8106869767868427,-0.2644640984625821,-0.26853419610389306,0.1562118557817166,-0.4206658761839037
Gingelly,Maha,0.6954444444444445,6322.111111111111,0.3574542567061416,9,False,-0.029266666666666656,ofc,-0.8954985300814666,-0.26158922244518,-0.07091669718702567,-0.3971999952739753,-0.49736005637238306
Soya bean,Maha,3.2207777777777777,572.5555555555555,1.422480567320418,9,False,0.20753333333333335,ofc,-0.4216546305533901,-0.29501167456750954,1.453377235826466,-3.7402017038625575,-0.5127695792773238
Capsicum,Maha,8.657777777777778,1864.4444444444443,0.0446213445414284,9,False,-0.08166666666666668,vegetables,-1.2015304056866805,-0.390420607842388,-0.3277229080722254,0.8720960501920493,-0.512947488320907
Guava (Kilo Pera),Maha,4.803519935859109,2032.75,0.1944532004781608,4,True,-0.6511362943856843,fruits,-0.480854574778934,-0.640639994282104,-1.429525432769855,0.41204173054862236,-0.5766006554537774
Sorghum,Maha,2.079111111111111,89.88888888888889,0.5115629965781036,9,False,-0.10880000000000001,ofc,-0.6358726025549294,-0.29781743988307785,-0.5828769061073793,-0.8809305618956186,-0.5775183664985598
Passion fruit,Maha,1.7776049256951114,534.8911111111112,0.2435256398958893,9,True,-0.07777177043866237,fruits,-0.8411777384969112,-0.755732889625728,-0.371375731352236,0.11208619900663608,-0.5828665342246484
Knolkhol,Maha,10.764444444444443,642.4444444444445,0.14602433012319285,9,False,-0.2895000000000001,vegetables,-0.7564631158124211,-1.2160686752805383,-0.8600946693857915,-0.10435038915624746,-0.7942739073956985
Avacado,Maha,3.822087920489402,3358.222222222222,0.6228994471965842,9,True,-0.529712183093895,fruits,-0.5977225924080733,-0.5387929932830537,-1.20543607644934,-2.2068380968349928,-0.9459002150991096
Banana,Yala,19.039255233626566,44260.444444444445,0.3221429614819572,9,True,0.9911502165580223,fruits,1.2143236318506194,2.604063264048327,1.6013299979680171,-0.36846257265758386,1.4017418824472956
Paddy (rice),Yala,4.23,422538.22222222225,0.12181084772644034,9,False,-0.11736666666666672,ofc,-0.2490406366222368,3.9982212626862,-0.28455451767663703,0.4246700905423156,0.906728671068675
Cabbage,Yala,26.188888888888886,2098.6144444444444,0.10959069579171943,9,False,-0.7770000000000004,vegetables,2.552105247002241,0.14153528996225223,-1.0198861909893804,0.11541975086549425,0.8695616457234077
Manioc,Yala,14.572222222222223,9421.666666666666,0.035878092092584836,9,False,-0.07850000000000013,ofc,1.52958999518667,-0.19411079867680586,-0.07360922771116346,1.7523045361869625,0.8114321332912783
Sweet potato,Yala,11.046111111111111,1856.5555555555557,0.039636936030050675,9,False,0.09683333333333326,ofc,0.9231778432694412,-0.27088200872001983,0.8779964542943198,1.6942315621461288,0.7312846603085548
Papaw,Yala,16.536528135207554,6156.555555555556,0.2616957856025202,9,True,1.1597112206554536,fruits,0.9163012012813692,-0.32377388309917127,1.9124109398590636,0.0010210924356592686,0.6682123615749166
Melon,Yala,28.274465763045395,1126.566,0.19590659655806503,5,True,-0.32195349377455984,fruits,2.3140439691318098,-0.7102696109621057,-0.8220154323592581,0.40315783973615116,0.6441207744007685
Brinjal,Yala,12.545555555555556,4613.112222222222,0.09533295823478924,9,False,-0.13216666666666677,vegetables,-0.43011160199154325,2.501334767820711,0.24708308745246177,0.38459955757632547,0.5603956022855016
Red pumpkin,Yala,14.57888888888889,2901.8088888888888,0.07420619335849178,9,False,-0.035000000000000045,vegetables,0.01434290030169159,0.8953151689382763,0.4379962663957531,0.7834635753154319,0.4346847419317111
Mango,Yala,5.9684519109740615,28707.444444444445,0.10756847129375817,9,True,0.18409065635632346,fruits,-0.34213555148194386,1.408997550877419,0.11189387664187496,0.9431250725349536,0.3792427033351953
Big onion,Yala,17.274714285714285,1848.7142857142858,0.1616289539616708,7,False,-0.3990461165048544,ofc,1.9943581139783224,-0.2709615824057394,-1.8133440517271948,-0.19050731193123777,0.33875794285476957
Tomato,Yala,15.57111111111111,2716.6233333333334,0.13038443702953412,9,False,-0.016666666666666687,vegetables,0.23122698256828023,0.7215226998539992,0.47401762091335525,-0.2771569272252991,0.32610145308968813
Red onion,Yala,12.019222222222222,2087.1111111111113,0.12890950270692958,9,False,-0.19120000000000004,ofc,1.0905311637827888,-0.268542316847393,-0.6852782031599344,0.3149980708295968,0.2792709562937199
Carrot,Yala,20.308888888888887,1668.7444444444445,0.1386371196990002,9,False,-0.6506666666666667,vegetables,1.2668302600427894,-0.26188801409153456,-0.7716663116771763,-0.43296394197378796,0.2219822468627287
Raddish,Yala,19.267777777777777,1498.61,0.11094577393492061,9,False,-0.6090000000000002,vegetables,1.0392598400161444,-0.4215553547087753,-0.6897995968644445,0.08983647222759637,0.18583064879051447
Beetroot,Yala,18.108888888888888,1085.3966666666665,0.11545402731795819,9,False,-0.13850000000000015,vegetables,0.7859450608402736,-0.8093467526021201,0.2346393468009264,0.004722633555509795,0.1596776005790912
Bean,Yala,10.477777777777778,3157.141111111111,0.06405298624348402,9,False,-0.08300000000000007,vegetables,-0.8820951149793625,1.1349387033097948,0.3436858109314857,0.9751516547039034,0.1459065402275863
Potato,Yala,16.530444444444445,2213.777777777778,0.16197556687683215,9,False,-0.5664333333333336,ofc,1.8663603675008102,-0.2672568957703836,-2.721822910828324,-0.1958623740618443,0.1059859847827869
Ladies fingers,Yala,9.546666666666667,3469.6433333333334,0.10518501964578993,9,False,0.10483333333333343,vegetables,-1.085621275045882,1.4282149938465611,0.7127409613072823,0.1985969764706457,0.09514297717534075
Pineapple,Yala,10.12785990529087,4885.777777777777,0.10408007682457239,9,True,0.1039340042183285,fruits,0.15316290953624964,-0.42141825725732357,-0.03603598993335868,0.9644479011868085,0.0933705866915185
Chillies,Yala,4.67075,5539.75,0.2298658524118488,4,False,0.2891419354838709,ofc,-0.17324150621046225,-0.23350472632833885,1.9217338602162786,-1.2447462476918447,0.06996205082320944
Maize,Yala,3.7567777777777778,8249.222222222223,0.06524856123053757,9,False,-0.038233333333333334,ofc,-0.3304242621150832,-0.20600883657558083,0.14493443462013444,1.298539889345745,0.04009595633596014
Ash plantain,Yala,11.055555555555555,2623.9355555555553,0.07642026608999687,9,False,-0.09983333333333332,vegetables,-0.75580203236052,0.6345373099535306,0.3106116581471421,0.7416628571067723,0.02968527473961889
Cucumber,Yala,14.545555555555556,1274.1844444444444,0.14492992551808329,9,False,0.37549999999999983,vegetables,0.007056760919834926,-0.632173679170424,1.2445471407307893,-0.5517693448145939,0.010923310999296762
Luffa,Yala,10.7,1675.125,0.03868881526149286,8,False,0.014414414414414486,vegetables,-0.833520852433654,-0.2559000065452509,0.5350857649358259,1.454016033785859,-0.07226378455473034
Ground nut,Yala,1.927777777777778,5786.222222222223,0.09861972955572933,9,False,-0.0049999999999999906,ofc,-0.644971305843128,-0.2310035111493247,0.32530532149455776,0.7829656798009607,-0.13323348385552675
Bitter gourd,Yala,11.397777777777778,1556.5322222222223,0.09284813982618002,9,False,-0.09766666666666667,vegetables,-0.6809976680401286,-0.36719665494599435,0.3148687273174041,0.43151183494643547,-0.2364977102471039
Kurakkan,Yala,1.4026666666666667,1251.2222222222222,0.13695637245126185,9,False,-0.009766666666666667,ofc,-0.7352786582918699,-0.277024968393307,0.29943467272520713,0.1906764268489133,-0.27487930684269635
Green gram,Yala,1.1786666666666668,5781.555555555556,0.12676940693702535,9,False,-0.04186666666666667,ofc,-0.7738016423241728,-0.23105086876795136,0.1252148491945455,0.34806188730034276,-0.2900311211876965
Soya bean,Yala,1.9392222222222222,2941.6666666666665,0.19913865834536373,9,False,0.06080000000000001,ofc,-0.6430031176708427,-0.25987023482697236,0.6824288226882504,-0.7700206211276095,-0.3011861344065715
Ash pumpkin,Yala,13.835555555555555,270.04777777777775,0.16364485184215632,9,False,0.4608333333333332,vegetables,-0.14813800791370452,-1.5745333036806775,1.412210172667265,-0.9050989127356128,-0.3062113314625401
Lime,Yala,1.470052635020104,9941.222222222223,0.18300609552829364,9,True,0.015798322425090796,fruits,-0.8778007811179014,-0.032966619605686774,-0.19869123189313137,0.48201221684594386,-0.32679838120031696
Orange,Yala,1.2548477988741977,6519.333333333333,0.11177556521275675,9,True,0.025504462193001648,fruits,-0.9034271741748892,-0.2958986639310007,-0.18077845831127384,0.9174091898991218,-0.3338898488300923
Snake gourd,Yala,11.738888888888889,1176.6633333333332,0.09105986048896242,9,False,-0.22550000000000006,vegetables,-0.6064361750324658,-0.7236950434420432,0.06370164627194198,0.4652737613681511,-0.3409668374138861
Blackgram,Yala,1.1324444444444444,1860.6666666666667,0.1569954066472222,9,False,-0.012966666666666666,ofc,-0.7817508295054417,-0.2708402889131344,0.2820669644604683,-0.11892044176967399,-0.34183507740381774
Cowpea,Yala,1.229888888888889,4321.444444444444,0.15779358198279753,9,False,-0.05793333333333335,ofc,-0.7649925671064687,-0.24586816558635563,0.03801448061533579,-0.13125200336521872,-0.3795489726208921
Rambutan,Yala,4.1832705436772395,6549.666666666667,0.5334373488100638,9,True,0.45844830650701,fruits,-0.5547132993413966,-0.29356790287957324,0.618223538599497,-1.6600005727013218,-0.42063267364175083
Gingelly,Yala,0.8068888888888889,9507.888888888889,0.20912025497894005,9,False,-0.015966666666666674,ofc,-0.8377390949888979,-0.19323581029456083,0.2657847379622756,-0.9242331960126817,-0.46888262237864653
Meneri,Yala,0.9991111111111112,95.11111111111111,0.25512305124609536,9,False,0.05620000000000001,ofc,-0.8046811771437171,-0.28875725462688867,0.6574627420576883,-1.6349621429636891,-0.5078135575472247
Capsicum,Yala,7.953333333333333,1389.302222222222,0.07379010849974939,9,False,-0.17366666666666675,vegetables,-1.4338987374986134,-0.5241382399296286,0.16554383949898066,0.7913190742264173,-0.5527874259480938
Guava (Kilo Pera),Yala,4.803519935859109,2032.75,0.1944532004781608,4,True,-0.6511362943856843,fruits,-0.480854574778934,-0.640639994282104,-1.429525432769855,0.41204173054862236,-0.5766006554537774
Passion fruit,Yala,1.7776049256951114,534.8911111111112,0.2435256398958893,9,True,-0.07777177043866237,fruits,-0.8411777384969112,-0.755732889625728,-0.371375731352236,0.11208619900663608,-0.5828665342246484
Sorghum,Yala,1.8107777777777778,41.333333333333336,0.2525975417643448,9,False,-0.07263333333333331,ofc,-0.6650926858957148,-0.2893029948034435,-0.04176842922580811,-1.59594380407717,-0.586108079515884
Leeks,Yala,20.471111111111114,1193.8833333333334,0.28218155728343336,9,False,-1.861333333333334,vegetables,1.3022894717011577,-0.7075344616479977,-3.150385577275921,-3.143019714084104,-0.7574978992993362
Knolkhol,Yala,12.946666666666665,691.0444444444444,0.1753223714793458,9,False,-0.6981666666666667,vegetables,-0.34243505809653935,-1.1794374229206863,-0.8649943665636908,-1.1255653413151403,-0.7736670534787965
Avacado,Yala,3.822087920489402,3358.222222222222,0.6228994471965842,9,True,-0.529712183093895,fruits,-0.5977225924080733,-0.5387929932830537,-1.20543607644934,-2.2068380968349928,-0.9459002150991096
