crop,data_year,extent_ha,production_000_fruits,production_t,dry_rainfall_mm_total,dry_pet_mm_total,dry_max_temp_c_avg,dry_min_temp_c_avg,dry_rh_morning_pct_avg,dry_rh_evening_pct_avg,dry_bsh_per_day_avg,dry_wind_speed_kmh_avg,intermediate_rainfall_mm_total,intermediate_pet_mm_total,intermediate_max_temp_c_avg,intermediate_min_temp_c_avg,intermediate_rh_morning_pct_avg,intermediate_rh_evening_pct_avg,intermediate_bsh_per_day_avg,intermediate_wind_speed_kmh_avg,wet_rainfall_mm_total,wet_pet_mm_total,wet_max_temp_c_avg,wet_min_temp_c_avg,wet_rh_morning_pct_avg,wet_rh_evening_pct_avg,wet_bsh_per_day_avg,wet_wind_speed_kmh_avg,source_report
Banana,2022,42715,122449,1469390,1436.3,959.5,31.7,23.1,85.58,64.75,7.03,5.17,2317.0,,30.52,22.3,83.33,68.75,6.6,4.92,1844.4,638.4,,12.52,87.33,88.92,3.98,9.32,AgStat_2024
Banana,2023,41338,60392,724703,1758.5,1040.2,32.23,23.45,84.75,65.17,6.94,5.4,2439.3,731.5,31.1,22.39,82.08,68.5,6.89,4.48,2396.4,647.7,20.13,13.15,89.33,90.75,4.29,7.99,AgStat_2025_ver_3_1
Banana,2024,40542,61885,742617,1549.9,1008.8,32.21,23.91,85.17,64.42,6.9,,2111.4,868.9,31.43,22.56,81.42,66.08,7.09,4.09,2021.0,730.4,20.71,13.28,91.67,91.67,4.77,8.82,AgStat_2025_ver_3_1
Guava (Kilo Pera),2021,2089,26735,12030,1416.8,1007.0,31.82,23.49,84.75,66.83,7.13,5.24,2449.6,,30.58,22.67,82.75,69.67,6.92,4.65,2033.8,626.7,,12.72,83.42,87.67,3.93,8.99,AgStat_2023
Guava (Kilo Pera),2022,2210,26741,12034,1436.3,959.5,31.7,23.1,85.58,64.75,7.03,5.17,2317.0,,30.52,22.3,83.33,68.75,6.6,4.92,1844.4,638.4,,12.52,87.33,88.92,3.98,9.32,AgStat_2024
Guava (Kilo Pera),2023,1902,16527,7437,1758.5,1040.2,32.23,23.45,84.75,65.17,6.94,5.4,2439.3,731.5,31.1,22.39,82.08,68.5,6.89,4.48,2396.4,647.7,20.13,13.15,89.33,90.75,4.29,7.99,AgStat_2025_ver_3_1
Guava (Kilo Pera),2024,1930,17584,7913,1549.9,1008.8,32.21,23.91,85.17,64.42,6.9,,2111.4,868.9,31.43,22.56,81.42,66.08,7.09,4.09,2021.0,730.4,20.71,13.28,91.67,91.67,4.77,8.82,AgStat_2025_ver_3_1
Lime,2016,10967,257230,12862,1125.1,1088.1,32.73,23.59,82.83,60.33,7.88,5.84,1554.4,1099.7,31.56,23.34,81.08,66.5,7.39,6.12,2403.9,617.1,18.14,12.72,86.83,90.17,4.61,8.18,Agstat2018
Lime,2017,10798,247655,12383,1507.0,1020.2,32.52,23.16,84.0,62.83,,,1689.0,1067.5,30.96,23.07,82.25,67.33,7.12,5.26,1930.3,708.9,20.12,12.33,80.92,85.08,4.88,8.24,AgStat2019
Lime,2018,10094,316260,15813,1624.3,1039.0,31.88,22.97,83.17,65.08,6.9,,2106.9,1005.5,30.78,22.28,82.83,67.33,7.07,5.62,2409.4,624.9,19.46,12.54,81.36,86.73,3.69,9.13,AgStat__vol_17___2020
Lime,2019,10238,334546,16727,1819.8,1078.2,32.38,23.62,81.83,63.0,7.35,4.31,1678.1,298.6,30.76,22.4,82.08,67.92,7.42,4.92,1712.7,701.1,19.46,12.67,79.67,83.42,3.91,8.11,AgStat_2021
Lime,2020,10534,391161,19558,1181.1,1045.9,32.18,23.55,82.75,62.58,7.39,4.09,809.0,,31.12,22.92,82.5,67.42,7.39,4.83,1516.8,670.5,19.68,12.7,80.33,83.25,4.31,8.42,AgStat_2022
Lime,2021,9625,333015,16651,1416.8,1007.0,31.82,23.49,84.75,66.83,7.13,5.24,2449.6,,30.58,22.67,82.75,69.67,6.92,4.65,2033.8,626.7,,12.72,83.42,87.67,3.93,8.99,AgStat_2023
Lime,2022,9529,265250,13263,1436.3,959.5,31.7,23.1,85.58,64.75,7.03,5.17,2317.0,,30.52,22.3,83.33,68.75,6.6,4.92,1844.4,638.4,,12.52,87.33,88.92,3.98,9.32,AgStat_2024
Lime,2023,8801,280814,14041,1758.5,1040.2,32.23,23.45,84.75,65.17,6.94,5.4,2439.3,731.5,31.1,22.39,82.08,68.5,6.89,4.48,2396.4,647.7,20.13,13.15,89.33,90.75,4.29,7.99,AgStat_2025_ver_3_1
Lime,2024,8885,201984,10099,1549.9,1008.8,32.21,23.91,85.17,64.42,6.9,,2111.4,868.9,31.43,22.56,81.42,66.08,7.09,4.09,2021.0,730.4,20.71,13.28,91.67,91.67,4.77,8.82,AgStat_2025_ver_3_1
Mango,2016,32207,432755,151464,1125.1,1088.1,32.73,23.59,82.83,60.33,7.88,5.84,1554.4,1099.7,31.56,23.34,81.08,66.5,7.39,6.12,2403.9,617.1,18.14,12.72,86.83,90.17,4.61,8.18,Agstat2018
Mango,2017,28272,433523,151733,1507.0,1020.2,32.52,23.16,84.0,62.83,,,1689.0,1067.5,30.96,23.07,82.25,67.33,7.12,5.26,1930.3,708.9,20.12,12.33,80.92,85.08,4.88,8.24,AgStat2019
Mango,2018,28440,493529,172735,1624.3,1039.0,31.88,22.97,83.17,65.08,6.9,,2106.9,1005.5,30.78,22.28,82.83,67.33,7.07,5.62,2409.4,624.9,19.46,12.54,81.36,86.73,3.69,9.13,AgStat__vol_17___2020
Mango,2019,27460,444136,155448,1819.8,1078.2,32.38,23.62,81.83,63.0,7.35,4.31,1678.1,298.6,30.76,22.4,82.08,67.92,7.42,4.92,1712.7,701.1,19.46,12.67,79.67,83.42,3.91,8.11,AgStat_2021
Mango,2020,29229,529528,185335,1181.1,1045.9,32.18,23.55,82.75,62.58,7.39,4.09,809.0,,31.12,22.92,82.5,67.42,7.39,4.83,1516.8,670.5,19.68,12.7,80.33,83.25,4.31,8.42,AgStat_2022
Mango,2021,27251,496488,173771,1416.8,1007.0,31.82,23.49,84.75,66.83,7.13,5.24,2449.6,,30.58,22.67,82.75,69.67,6.92,4.65,2033.8,626.7,,12.72,83.42,87.67,3.93,8.99,AgStat_2023
Mango,2022,30955,553075,193576,1436.3,959.5,31.7,23.1,85.58,64.75,7.03,5.17,2317.0,,30.52,22.3,83.33,68.75,6.6,4.92,1844.4,638.4,,12.52,87.33,88.92,3.98,9.32,AgStat_2024
Mango,2023,26965,530156,185555,1758.5,1040.2,32.23,23.45,84.75,65.17,6.94,5.4,2439.3,731.5,31.1,22.39,82.08,68.5,6.89,4.48,2396.4,647.7,20.13,13.15,89.33,90.75,4.29,7.99,AgStat_2025_ver_3_1
Mango,2024,27588,477629,167170,1549.9,1008.8,32.21,23.91,85.17,64.42,6.9,,2111.4,868.9,31.43,22.56,81.42,66.08,7.09,4.09,2021.0,730.4,20.71,13.28,91.67,91.67,4.77,8.82,AgStat_2025_ver_3_1
Melon,2020,1443,25244,37866,1181.1,1045.9,32.18,23.55,82.75,62.58,7.39,4.09,809.0,,31.12,22.92,82.5,67.42,7.39,4.83,1516.8,670.5,19.68,12.7,80.33,83.25,4.31,8.42,AgStat_2022
Melon,2021,985,22321,33482,1416.8,1007.0,31.82,23.49,84.75,66.83,7.13,5.24,2449.6,,30.58,22.67,82.75,69.67,6.92,4.65,2033.8,626.7,,12.72,83.42,87.67,3.93,8.99,AgStat_2023
Melon,2022,884.83,13188,19782,1436.3,959.5,31.7,23.1,85.58,64.75,7.03,5.17,2317.0,,30.52,22.3,83.33,68.75,6.6,4.92,1844.4,638.4,,12.52,87.33,88.92,3.98,9.32,AgStat_2024
Melon,2023,880,20129,30193,1758.5,1040.2,32.23,23.45,84.75,65.17,6.94,5.4,2439.3,731.5,31.1,22.39,82.08,68.5,6.89,4.48,2396.4,647.7,20.13,13.15,89.33,90.75,4.29,7.99,AgStat_2025_ver_3_1
Melon,2024,1440,23493,35240,1549.9,1008.8,32.21,23.91,85.17,64.42,6.9,,2111.4,868.9,31.43,22.56,81.42,66.08,7.09,4.09,2021.0,730.4,20.71,13.28,91.67,91.67,4.77,8.82,AgStat_2025_ver_3_1
Orange,2016,6333,47647,7147,1125.1,1088.1,32.73,23.59,82.83,60.33,7.88,5.84,1554.4,1099.7,31.56,23.34,81.08,66.5,7.39,6.12,2403.9,617.1,18.14,12.72,86.83,90.17,4.61,8.18,Agstat2018
Orange,2017,6891,46990,7048,1507.0,1020.2,32.52,23.16,84.0,62.83,,,1689.0,1067.5,30.96,23.07,82.25,67.33,7.12,5.26,1930.3,708.9,20.12,12.33,80.92,85.08,4.88,8.24,AgStat2019
Orange,2018,6840,56788,8518,1624.3,1039.0,31.88,22.97,83.17,65.08,6.9,,2106.9,1005.5,30.78,22.28,82.83,67.33,7.07,5.62,2409.4,624.9,19.46,12.54,81.36,86.73,3.69,9.13,AgStat__vol_17___2020
Orange,2019,6742,59213,8882,1819.8,1078.2,32.38,23.62,81.83,63.0,7.35,4.31,1678.1,298.6,30.76,22.4,82.08,67.92,7.42,4.92,1712.7,701.1,19.46,12.67,79.67,83.42,3.91,8.11,AgStat_2021
Orange,2020,6945,61203,9180,1181.1,1045.9,32.18,23.55,82.75,62.58,7.39,4.09,809.0,,31.12,22.92,82.5,67.42,7.39,4.83,1516.8,670.5,19.68,12.7,80.33,83.25,4.31,8.42,AgStat_2022
Orange,2021,6122,58644,8797,1416.8,1007.0,31.82,23.49,84.75,66.83,7.13,5.24,2449.6,,30.58,22.67,82.75,69.67,6.92,4.65,2033.8,626.7,,12.72,83.42,87.67,3.93,8.99,AgStat_2023
Orange,2022,6465,50713,7607,1436.3,959.5,31.7,23.1,85.58,64.75,7.03,5.17,2317.0,,30.52,22.3,83.33,68.75,6.6,4.92,1844.4,638.4,,12.52,87.33,88.92,3.98,9.32,AgStat_2024
Orange,2023,6171,59492,8924,1758.5,1040.2,32.23,23.45,84.75,65.17,6.94,5.4,2439.3,731.5,31.1,22.39,82.08,68.5,6.89,4.48,2396.4,647.7,20.13,13.15,89.33,90.75,4.29,7.99,AgStat_2025_ver_3_1
Orange,2024,6165,49238,7386,1549.9,1008.8,32.21,23.91,85.17,64.42,6.9,,2111.4,868.9,31.43,22.56,81.42,66.08,7.09,4.09,2021.0,730.4,20.71,13.28,91.67,91.67,4.77,8.82,AgStat_2025_ver_3_1
Papaw,2016,5913,49661,74492,1125.1,1088.1,32.73,23.59,82.83,60.33,7.88,5.84,1554.4,1099.7,31.56,23.34,81.08,66.5,7.39,6.12,2403.9,617.1,18.14,12.72,86.83,90.17,4.61,8.18,Agstat2018
Papaw,2017,6975,57479,86219,1507.0,1020.2,32.52,23.16,84.0,62.83,,,1689.0,1067.5,30.96,23.07,82.25,67.33,7.12,5.26,1930.3,708.9,20.12,12.33,80.92,85.08,4.88,8.24,AgStat2019
Papaw,2018,6271,48521,72782,1624.3,1039.0,31.88,22.97,83.17,65.08,6.9,,2106.9,1005.5,30.78,22.28,82.83,67.33,7.07,5.62,2409.4,624.9,19.46,12.54,81.36,86.73,3.69,9.13,AgStat__vol_17___2020
Papaw,2019,6178,52562,78843,1819.8,1078.2,32.38,23.62,81.83,63.0,7.35,4.31,1678.1,298.6,30.76,22.4,82.08,67.92,7.42,4.92,1712.7,701.1,19.46,12.67,79.67,83.42,3.91,8.11,AgStat_2021
Papaw,2020,6665,87122,130684,1181.1,1045.9,32.18,23.55,82.75,62.58,7.39,4.09,809.0,,31.12,22.92,82.5,67.42,7.39,4.83,1516.8,670.5,19.68,12.7,80.33,83.25,4.31,8.42,AgStat_2022
Papaw,2021,6387,86414,129621,1416.8,1007.0,31.82,23.49,84.75,66.83,7.13,5.24,2449.6,,30.58,22.67,82.75,69.67,6.92,4.65,2033.8,626.7,,12.72,83.42,87.67,3.93,8.99,AgStat_2023
Papaw,2022,6095,95973,143960,1436.3,959.5,31.7,23.1,85.58,64.75,7.03,5.17,2317.0,,30.52,22.3,83.33,68.75,6.6,4.92,1844.4,638.4,,12.52,87.33,88.92,3.98,9.32,AgStat_2024
Papaw,2023,5429,66675,100012,1758.5,1040.2,32.23,23.45,84.75,65.17,6.94,5.4,2439.3,731.5,31.1,22.39,82.08,68.5,6.89,4.48,2396.4,647.7,20.13,13.15,89.33,90.75,4.29,7.99,AgStat_2025_ver_3_1
Papaw,2024,5496,64334,96501,1549.9,1008.8,32.21,23.91,85.17,64.42,6.9,,2111.4,868.9,31.43,22.56,81.42,66.08,7.09,4.09,2021.0,730.4,20.71,13.28,91.67,91.67,4.77,8.82,AgStat_2025_ver_3_1
Passion fruit,2016,508,14841,1484,1125.1,1088.1,32.73,23.59,82.83,60.33,7.88,5.84,1554.4,1099.7,31.56,23.34,81.08,66.5,7.39,6.12,2403.9,617.1,18.14,12.72,86.83,90.17,4.61,8.18,Agstat2018
Passion fruit,2017,470,7313,731,1507.0,1020.2,32.52,23.16,84.0,62.83,,,1689.0,1067.5,30.96,23.07,82.25,67.33,7.12,5.26,1930.3,708.9,20.12,12.33,80.92,85.08,4.88,8.24,AgStat2019
Passion fruit,2018,481,7538,754,1624.3,1039.0,31.88,22.97,83.17,65.08,6.9,,2106.9,1005.5,30.78,22.28,82.83,67.33,7.07,5.62,2409.4,624.9,19.46,12.54,81.36,86.73,3.69,9.13,AgStat__vol_17___2020
Passion fruit,2019,508,8846,885,1819.8,1078.2,32.38,23.62,81.83,63.0,7.35,4.31,1678.1,298.6,30.76,22.4,82.08,67.92,7.42,4.92,1712.7,701.1,19.46,12.67,79.67,83.42,3.91,8.11,AgStat_2021
Passion fruit,2020,617,9758,976,1181.1,1045.9,32.18,23.55,82.75,62.58,7.39,4.09,809.0,,31.12,22.92,82.5,67.42,7.39,4.83,1516.8,670.5,19.68,12.7,80.33,83.25,4.31,8.42,AgStat_2022
Passion fruit,2021,592,9819,982,1416.8,1007.0,31.82,23.49,84.75,66.83,7.13,5.24,2449.6,,30.58,22.67,82.75,69.67,6.92,4.65,2033.8,626.7,,12.72,83.42,87.67,3.93,8.99,AgStat_2023
Passion fruit,2022,580.02,9694,969.39,1436.3,959.5,31.7,23.1,85.58,64.75,7.03,5.17,2317.0,,30.52,22.3,83.33,68.75,6.6,4.92,1844.4,638.4,,12.52,87.33,88.92,3.98,9.32,AgStat_2024
Passion fruit,2023,520,8530,853,1758.5,1040.2,32.23,23.45,84.75,65.17,6.94,5.4,2439.3,731.5,31.1,22.39,82.08,68.5,6.89,4.48,2396.4,647.7,20.13,13.15,89.33,90.75,4.29,7.99,AgStat_2025_ver_3_1
Passion fruit,2024,538,8931,893,1549.9,1008.8,32.21,23.91,85.17,64.42,6.9,,2111.4,868.9,31.43,22.56,81.42,66.08,7.09,4.09,2021.0,730.4,20.71,13.28,91.67,91.67,4.77,8.82,AgStat_2025_ver_3_1
Pineapple,2016,4775,40339,50424,1125.1,1088.1,32.73,23.59,82.83,60.33,7.88,5.84,1554.4,1099.7,31.56,23.34,81.08,66.5,7.39,6.12,2403.9,617.1,18.14,12.72,86.83,90.17,4.61,8.18,Agstat2018
Pineapple,2017,4783,42229,52786,1507.0,1020.2,32.52,23.16,84.0,62.83,,,1689.0,1067.5,30.96,23.07,82.25,67.33,7.12,5.26,1930.3,708.9,20.12,12.33,80.92,85.08,4.88,8.24,AgStat2019
Pineapple,2018,5543,34651,43314,1624.3,1039.0,31.88,22.97,83.17,65.08,6.9,,2106.9,1005.5,30.78,22.28,82.83,67.33,7.07,5.62,2409.4,624.9,19.46,12.54,81.36,86.73,3.69,9.13,AgStat__vol_17___2020
Pineapple,2019,4665,35834,44793,1819.8,1078.2,32.38,23.62,81.83,63.0,7.35,4.31,1678.1,298.6,30.76,22.4,82.08,67.92,7.42,4.92,1712.7,701.1,19.46,12.67,79.67,83.42,3.91,8.11,AgStat_2021
Pineapple,2020,5636,42516,53145,1181.1,1045.9,32.18,23.55,82.75,62.58,7.39,4.09,809.0,,31.12,22.92,82.5,67.42,7.39,4.83,1516.8,670.5,19.68,12.7,80.33,83.25,4.31,8.42,AgStat_2022
Pineapple,2021,4463,39285,49106,1416.8,1007.0,31.82,23.49,84.75,66.83,7.13,5.24,2449.6,,30.58,22.67,82.75,69.67,6.92,4.65,2033.8,626.7,,12.72,83.42,87.67,3.93,8.99,AgStat_2023
Pineapple,2022,5259,42295,52869,1436.3,959.5,31.7,23.1,85.58,64.75,7.03,5.17,2317.0,,30.52,22.3,83.33,68.75,6.6,4.92,1844.4,638.4,,12.52,87.33,88.92,3.98,9.32,AgStat_2024
Pineapple,2023,4156,36260,45325,1758.5,1040.2,32.23,23.45,84.75,65.17,6.94,5.4,2439.3,731.5,31.1,22.39,82.08,68.5,6.89,4.48,2396.4,647.7,20.13,13.15,89.33,90.75,4.29,7.99,AgStat_2025_ver_3_1
Pineapple,2024,4692,40340,50425,1549.9,1008.8,32.21,23.91,85.17,64.42,6.9,,2111.4,868.9,31.43,22.56,81.42,66.08,7.09,4.09,2021.0,730.4,20.71,13.28,91.67,91.67,4.77,8.82,AgStat_2025_ver_3_1
Rambutan,2016,4939,240125,8405,1125.1,1088.1,32.73,23.59,82.83,60.33,7.88,5.84,1554.4,1099.7,31.56,23.34,81.08,66.5,7.39,6.12,2403.9,617.1,18.14,12.72,86.83,90.17,4.61,8.18,Agstat2018
Rambutan,2017,5899,409686,14339,1507.0,1020.2,32.52,23.16,84.0,62.83,,,1689.0,1067.5,30.96,23.07,82.25,67.33,7.12,5.26,1930.3,708.9,20.12,12.33,80.92,85.08,4.88,8.24,AgStat2019
Rambutan,2018,6297,664968,23274,1624.3,1039.0,31.88,22.97,83.17,65.08,6.9,,2106.9,1005.5,30.78,22.28,82.83,67.33,7.07,5.62,2409.4,624.9,19.46,12.54,81.36,86.73,3.69,9.13,AgStat__vol_17___2020
Rambutan,2019,6929,709468,24831,1819.8,1078.2,32.38,23.62,81.83,63.0,7.35,4.31,1678.1,298.6,30.76,22.4,82.08,67.92,7.42,4.92,1712.7,701.1,19.46,12.67,79.67,83.42,3.91,8.11,AgStat_2021
Rambutan,2020,7506,523842,18334,1181.1,1045.9,32.18,23.55,82.75,62.58,7.39,4.09,809.0,,31.12,22.92,82.5,67.42,7.39,4.83,1516.8,670.5,19.68,12.7,80.33,83.25,4.31,8.42,AgStat_2022
Rambutan,2021,7228,1908417,66795,1416.8,1007.0,31.82,23.49,84.75,66.83,7.13,5.24,2449.6,,30.58,22.67,82.75,69.67,6.92,4.65,2033.8,626.7,,12.72,83.42,87.67,3.93,8.99,AgStat_2023
Rambutan,2022,7023,997503,34913,1436.3,959.5,31.7,23.1,85.58,64.75,7.03,5.17,2317.0,,30.52,22.3,83.33,68.75,6.6,4.92,1844.4,638.4,,12.52,87.33,88.92,3.98,9.32,AgStat_2024
Rambutan,2023,6418,904167,31646,1758.5,1040.2,32.23,23.45,84.75,65.17,6.94,5.4,2439.3,731.5,31.1,22.39,82.08,68.5,6.89,4.48,2396.4,647.7,20.13,13.15,89.33,90.75,4.29,7.99,AgStat_2025_ver_3_1
Rambutan,2024,6708,891487,31202,1549.9,1008.8,32.21,23.91,85.17,64.42,6.9,,2111.4,868.9,31.43,22.56,81.42,66.08,7.09,4.09,2021.0,730.4,20.71,13.28,91.67,91.67,4.77,8.82,AgStat_2025_ver_3_1
